environment,algorithm,algorithm_id,horizon,seed,step,action,reward,instant_regret,cumulative_regret
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,1,0,1.0,0.49999999999999994,0.49999999999999994
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,2,1,1.0,0.0,0.49999999999999994
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,3,2,1.0,0.29999999999999993,0.7999999999999998
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,4,0,0.0,0.49999999999999994,1.2999999999999998
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,5,1,1.0,0.0,1.2999999999999998
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,6,2,1.0,0.29999999999999993,1.5999999999999996
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,7,1,1.0,0.0,1.5999999999999996
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,8,2,1.0,0.29999999999999993,1.8999999999999995
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,9,0,0.0,0.49999999999999994,2.3999999999999995
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,10,1,1.0,0.0,2.3999999999999995
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,11,2,1.0,0.29999999999999993,2.6999999999999993
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,12,1,1.0,0.0,2.6999999999999993
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,13,2,1.0,0.29999999999999993,2.999999999999999
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,14,0,1.0,0.49999999999999994,3.499999999999999
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,15,1,1.0,0.0,3.499999999999999
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,16,2,0.0,0.29999999999999993,3.799999999999999
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,17,0,0.0,0.49999999999999994,4.299999999999999
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,18,1,1.0,0.0,4.299999999999999
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,19,1,1.0,0.0,4.299999999999999
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,20,2,0.0,0.29999999999999993,4.599999999999999
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,21,0,0.0,0.49999999999999994,5.099999999999999
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,22,1,1.0,0.0,5.099999999999999
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,23,1,1.0,0.0,5.099999999999999
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,24,2,0.0,0.29999999999999993,5.399999999999999
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,25,0,0.0,0.49999999999999994,5.899999999999999
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,26,1,0.0,0.0,5.899999999999999
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,27,2,1.0,0.29999999999999993,6.199999999999998
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,28,0,0.0,0.49999999999999994,6.699999999999998
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,29,1,1.0,0.0,6.699999999999998
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,30,2,1.0,0.29999999999999993,6.999999999999998
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,31,1,0.0,0.0,6.999999999999998
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,32,2,0.0,0.29999999999999993,7.299999999999998
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,33,0,0.0,0.49999999999999994,7.799999999999998
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,34,1,1.0,0.0,7.799999999999998
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,35,2,0.0,0.29999999999999993,8.099999999999998
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,36,1,1.0,0.0,8.099999999999998
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,37,0,0.0,0.49999999999999994,8.599999999999998
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,38,1,1.0,0.0,8.599999999999998
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,39,2,0.0,0.29999999999999993,8.899999999999999
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,40,1,1.0,0.0,8.899999999999999
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,41,0,1.0,0.49999999999999994,9.399999999999999
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,42,1,0.0,0.0,9.399999999999999
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,43,0,1.0,0.49999999999999994,9.899999999999999
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,44,2,0.0,0.29999999999999993,10.2
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,45,0,1.0,0.49999999999999994,10.7
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,46,1,1.0,0.0,10.7
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,47,0,0.0,0.49999999999999994,11.2
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,48,2,0.0,0.29999999999999993,11.5
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,49,1,0.0,0.0,11.5
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,50,0,0.0,0.49999999999999994,12.0
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,51,2,0.0,0.29999999999999993,12.3
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,52,1,1.0,0.0,12.3
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,53,1,1.0,0.0,12.3
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,54,0,0.0,0.49999999999999994,12.8
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,55,2,1.0,0.29999999999999993,13.100000000000001
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,56,1,1.0,0.0,13.100000000000001
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,57,2,0.0,0.29999999999999993,13.400000000000002
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,58,1,1.0,0.0,13.400000000000002
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,59,0,0.0,0.49999999999999994,13.900000000000002
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,60,1,0.0,0.0,13.900000000000002
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,61,2,0.0,0.4,14.300000000000002
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,62,0,1.0,0.0,14.300000000000002
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,63,1,1.0,0.6000000000000001,14.900000000000002
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,64,0,1.0,0.0,14.900000000000002
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,65,2,1.0,0.4,15.300000000000002
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,66,1,0.0,0.6000000000000001,15.900000000000002
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,67,0,1.0,0.0,15.900000000000002
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,68,2,1.0,0.4,16.3
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,69,0,1.0,0.0,16.3
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,70,2,1.0,0.4,16.7
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,71,1,0.0,0.6000000000000001,17.3
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,72,0,1.0,0.0,17.3
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,73,2,0.0,0.4,17.7
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,74,0,1.0,0.0,17.7
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,75,1,0.0,0.6000000000000001,18.3
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,76,0,1.0,0.0,18.3
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,77,2,0.0,0.4,18.7
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,78,0,0.0,0.0,18.7
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,79,1,1.0,0.6000000000000001,19.3
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,80,2,0.0,0.4,19.7
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,81,1,0.0,0.6000000000000001,20.3
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,82,0,1.0,0.0,20.3
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,83,0,1.0,0.0,20.3
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,84,2,1.0,0.4,20.7
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,85,1,1.0,0.6000000000000001,21.3
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,86,0,1.0,0.0,21.3
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,87,2,0.0,0.4,21.7
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,88,1,0.0,0.6000000000000001,22.3
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,89,0,0.0,0.0,22.3
nonstationary_bernoulli,discounted_ucb,du_g090,120,0,90,2,1.0,0.4,22.7
