environment,algorithm,algorithm_id,horizon,seed,step,action,reward,instant_regret,cumulative_regret
nonstationary_bernoulli,discounted_ucb,du_g099,120,1,1,0,0.0,0.49999999999999994,0.49999999999999994
nonstationary_bernoulli,discounted_ucb,du_g099,120,1,2,1,1.0,0.0,0.49999999999999994
nonstationary_bernoulli,discounted_ucb,du_g099,120,1,3,2,1.0,0.29999999999999993,0.7999999999999998
nonstationary_bernoulli,discounted_ucb,du_g099,120,1,4,1,1.0,0.0,0.7999999999999998
nonstationary_bernoulli,discounted_ucb,du_g099,120,1,5,2,0.0,0.29999999999999993,1.0999999999999996
nonstationary_bernoulli,discounted_ucb,du_g099,120,1,6,0,1.0,0.49999999999999994,1.5999999999999996
nonstationary_bernoulli,discounted_ucb,du_g099,120,1,7,1,1.0,0.0,1.5999999999999996
nonstationary_bernoulli,discounted_ucb,du_g099,120,1,8,0,1.0,0.49999999999999994,2.0999999999999996
nonstationary_bernoulli,discounted_ucb,du_g099,120,1,9,2,0.0,0.29999999999999993,2.3999999999999995
nonstationary_bernoulli,discounted_ucb,du_g099,120,1,10,1,1.0,0.0,2.3999999999999995
nonstationary_bernoulli,discounted_ucb,du_g099,120,1,11,0,0.0,0.49999999999999994,2.8999999999999995
nonstationary_bernoulli,discounted_ucb,du_g099,120,1,12,1,1.0,0.0,2.8999999999999995
nonstationary_bernoulli,discounted_ucb,du_g099,120,1,13,1,0.0,0.0,2.8999999999999995
nonstationary_bernoulli,discounted_ucb,du_g099,120,1,14,2,0.0,0.29999999999999993,3.1999999999999993
nonstationary_bernoulli,discounted_ucb,du_g099,120,1,15,0,0.0,0.49999999999999994,3.6999999999999993
nonstationary_bernoulli,discounted_ucb,du_g099,120,1,16,1,1.0,0.0,3.6999999999999993
nonstationary_bernoulli,discounted_ucb,du_g099,120,1,17,1,0.0,0.0,3.6999999999999993
nonstationary_bernoulli,discounted_ucb,du_g099,120,1,18,2,0.0,0.29999999999999993,3.999999999999999
nonstationary_bernoulli,discounted_ucb,du_g099,120,1,19,0,0.0,0.49999999999999994,4.499999999999999
nonstationary_bernoulli,discounted_ucb,du_g099,120,1,20,1,1.0,0.0,4.499999999999999
nonstationary_bernoulli,discounted_ucb,du_g099,120,1,21,2,1.0,0.29999999999999993,4.799999999999999
nonstationary_bernoulli,discounted_ucb,du_g099,120,1,22,1,1.0,0.0,4.799999999999999
nonstationary_bernoulli,discounted_ucb,du_g099,120,1,23,0,1.0,0.49999999999999994,5.299999999999999
nonstationary_bernoulli,discounted_ucb,du_g099,120,1,24,2,0.0,0.29999999999999993,5.599999999999999
nonstationary_bernoulli,discounted_ucb,du_g099,120,1,25,1,1.0,0.0,5.599999999999999
nonstationary_bernoulli,discounted_ucb,du_g099,120,1,26,0,0.0,0.49999999999999994,6.099999999999999
nonstationary_bernoulli,discounted_ucb,du_g099,120,1,27,1,1.0,0.0,6.099999999999999
nonstationary_bernoulli,discounted_ucb,du_g099,120,1,28,1,1.0,0.0,6.099999999999999
nonstationary_bernoulli,discounted_ucb,du_g099,120,1,29,1,0.0,0.0,6.099999999999999
nonstationary_bernoulli,discounted_ucb,du_g099,120,1,30,2,0.0,0.29999999999999993,6.399999999999999
nonstationary_bernoulli,discounted_ucb,du_g099,120,1,31,0,1.0,0.49999999999999994,6.899999999999999
nonstationary_bernoulli,discounted_ucb,du_g099,120,1,32,0,0.0,0.49999999999999994,7.399999999999999
nonstationary_bernoulli,discounted_ucb,du_g099,120,1,33,1,0.0,0.0,7.399999999999999
nonstationary_bernoulli,discounted_ucb,du_g099,120,1,34,2,1.0,0.29999999999999993,7.699999999999998
nonstationary_bernoulli,discounted_ucb,du_g099,120,1,35,2,1.0,0.29999999999999993,7.999999999999998
nonstationary_bernoulli,discounted_ucb,du_g099,120,1,36,0,0.0,0.49999999999999994,8.499999999999998
