step,mean_0,mean_1,mean_2
1,0.2,0.7,0.4
2,0.2050420168067227,0.6957983193277311,0.4
3,0.21008403361344538,0.6915966386554621,0.39999999999999997
4,0.21512605042016808,0.6873949579831932,0.4
5,0.22016806722689075,0.6831932773109243,0.4
6,0.22521008403361348,0.6789915966386554,0.4
7,0.23025210084033612,0.6747899159663865,0.39999999999999997
8,0.23529411764705882,0.6705882352941176,0.4
9,0.24033613445378152,0.6663865546218487,0.4
10,0.24537815126050422,0.6621848739495798,0.4
11,0.2504201680672269,0.6579831932773109,0.4
12,0.2554621848739496,0.653781512605042,0.4
13,0.2605042016806723,0.6495798319327731,0.4000000000000001
14,0.26554621848739496,0.6453781512605041,0.4
15,0.2705882352941177,0.6411764705882352,0.4
16,0.27563025210084036,0.6369747899159663,0.4
17,0.280672268907563,0.6327731092436975,0.4
18,0.28571428571428575,0.6285714285714286,0.4000000000000001
19,0.2907563025210084,0.6243697478991597,0.4
20,0.2957983193277311,0.6201680672268908,0.4
21,0.3008403361344538,0.6159663865546218,0.4
22,0.3058823529411765,0.6117647058823529,0.4
23,0.31092436974789917,0.607563025210084,0.4
24,0.31596638655462184,0.6033613445378151,0.4
25,0.32100840336134456,0.5991596638655462,0.4
26,0.32605042016806723,0.5949579831932772,0.4
27,0.33109243697478996,0.5907563025210083,0.4
28,0.33613445378151263,0.5865546218487394,0.4
29,0.3411764705882353,0.5823529411764705,0.4
30,0.346218487394958,0.5781512605042016,0.4
31,0.35126050420168065,0.5739495798319328,0.4
32,0.35630252100840343,0.569747899159664,0.4
33,0.3613445378151261,0.5655462184873951,0.4
34,0.36638655462184877,0.561344537815126,0.4
35,0.37142857142857144,0.5571428571428572,0.4
36,0.3764705882352941,0.5529411764705882,0.4
37,0.3815126050420168,0.5487394957983193,0.4
38,0.3865546218487395,0.5445378151260504,0.4
39,0.3915966386554622,0.5403361344537815,0.4
40,0.3966386554621849,0.5361344537815126,0.4
41,0.4016806722689076,0.5319327731092437,0.4
42,0.40672268907563025,0.5277310924369748,0.4
43,0.411764705882353,0.5235294117647058,0.4
44,0.41680672268907565,0.5193277310924369,0.4
45,0.4218487394957983,0.515126050420168,0.4
46,0.42689075630252105,0.5109243697478991,0.4
47,0.4319327731092437,0.5067226890756302,0.4
48,0.4369747899159664,0.5025210084033613,0.4
49,0.4420168067226891,0.4983193277310924,0.4
50,0.4470588235294118,0.4941176470588235,0.4
51,0.45210084033613446,0.48991596638655455,0.4
52,0.45714285714285713,0.48571428571428565,0.4
53,0.46218487394957986,0.4815126050420168,0.4
54,0.4672268907563026,0.4773109243697479,0.4
55,0.47226890756302525,0.47310924369747903,0.4
56,0.4773109243697479,0.46890756302521003,0.4
57,0.4823529411764706,0.46470588235294114,0.4
58,0.4873949579831933,0.4605042016806722,0.4
59,0.492436974789916,0.4563025210084033,0.4
60,0.49747899159663866,0.4521008403361344,0.4
61,0.5025210084033613,0.4478991596638655,0.4
62,0.507563025210084,0.4436974789915966,0.4
63,0.5126050420168068,0.4394957983193277,0.4
64,0.5176470588235295,0.43529411764705883,0.4
65,0.5226890756302521,0.43109243697478994,0.4
66,0.5277310924369748,0.42689075630252105,0.4
67,0.5327731092436975,0.42268907563025204,0.4
68,0.5378151260504201,0.41848739495798315,0.4
69,0.5428571428571428,0.41428571428571426,0.4
70,0.5478991596638656,0.41008403361344536,0.4
71,0.5529411764705883,0.40588235294117647,0.4
72,0.5579831932773109,0.4016806722689076,0.4
73,0.5630252100840336,0.3974789915966387,0.4
74,0.5680672268907563,0.3932773109243697,0.4
75,0.573109243697479,0.3890756302521008,0.4
76,0.5781512605042016,0.38487394957983195,0.4
77,0.5831932773109243,0.38067226890756306,0.4
78,0.5882352941176471,0.3764705882352941,0.4
79,0.5932773109243697,0.3722689075630252,0.4
80,0.5983193277310924,0.3680672268907563,0.4
81,0.6033613445378152,0.3638655462184873,0.4
82,0.6084033613445379,0.35966386554621843,0.4
83,0.6134453781512605,0.3554621848739496,0.4
84,0.6184873949579832,0.3512605042016807,0.4
85,0.623529411764706,0.34705882352941175,0.4
86,0.6285714285714287,0.34285714285714286,0.4
87,0.6336134453781513,0.33865546218487397,0.4
88,0.638655462184874,0.3344537815126051,0.4
89,0.6436974789915967,0.33025210084033607,0.4
90,0.6487394957983194,0.3260504201680672,0.4
91,0.6537815126050421,0.32184873949579834,0.4
92,0.6588235294117648,0.31764705882352945,0.4
93,0.6638655462184874,0.3134453781512605,0.4
94,0.66890756302521,0.3092436974789916,0.4
95,0.6739495798319327,0.3050420168067227,0.4
96,0.6789915966386555,0.3008403361344537,0.4
97,0.6840336134453782,0.2966386554621848,0.4
98,0.6890756302521008,0.292436974789916,0.4
99,0.6941176470588235,0.2882352941176471,0.4
100,0.6991596638655463,0.28403361344537814,0.4
101,0.704201680672269,0.27983193277310925,0.4
102,0.7092436974789916,0.27563025210084036,0.4
103,0.7142857142857143,0.27142857142857146,0.4
104,0.7193277310924371,0.2672268907563025,0.4
105,0.7243697478991598,0.2630252100840336,0.4
106,0.7294117647058824,0.25882352941176473,0.4
107,0.7344537815126052,0.2546218487394958,0.4
108,0.7394957983193279,0.2504201680672269,0.4
109,0.7445378151260506,0.246218487394958,0.4
110,0.7495798319327732,0.2420168067226891,0.4
111,0.7546218487394958,0.23781512605042016,0.4
112,0.7596638655462185,0.23361344537815126,0.4
113,0.7647058823529411,0.22941176470588237,0.4
114,0.7697478991596638,0.22521008403361348,0.4
115,0.7747899159663866,0.22100840336134453,0.4
116,0.7798319327731092,0.21680672268907564,0.4
117,0.7848739495798319,0.21260504201680674,0.4
